auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,
auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon?,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Start/End date?,Title/Link,Sanderson? ,World
LG44,29,8,1185,EE,V,Complex,FALSE,FALSE,,,,7,24.1%,6,0,15,13,4,0,0,0,0,8,3,,6,,,,Shadows of Elantris Redux,TRUE,Sel
LG45,22,7,268,,V,Faction/FFA,FALSE,FALSE,,,,0,0.0%,0,0,0,0,0,0,0,0,0,0,0,,6,,,,The House War,TRUE,Scadrial
QF31,12,8,509,,F,Faction/FFA,FALSE,FALSE,,,,3,25.0%,0,0,4,0,2,0,0,0,0,2,0,,3,,,,<MISSING VARIABLE>,TRUE,Other Sanderson
MR29,20,5,406,V/E,V,Semi Standard,FALSE,FALSE,,,,4,20.0%,2,0,8,12,2,0,0,0,0,4,2,,4,,,,A Midsummer Night with no Moon,FALSE,Kingkiller Chronicles
LG46,27,10,862,,E,Semi Standard,FALSE,FALSE,,,,6,22.2%,3,0,22,5,9,0,0,0,1,10,2,,8,,,,A Land War in Asia,FALSE,Princess Bride
QF32,15,5,305,,V,Basic,FALSE,FALSE,,,,3,20.0%,1,2,10,5,3,0,0,2,0,4,1,,4,,,,,TRUE,
LG47,16,6,266,,E,,FALSE,FALSE,,,,4,25.0%,2,0,12,4,7,0,0,0,2,2,1,,1,,,,Shadow in the South,FALSE,Lord of the Rings
MR30,14,6,503,,V,,FALSE,FALSE,,,,0,0.0%,0,0,9,5,0,4,0,0,0,5,0,,8,,,,Scadrian Black Ops,TRUE,Scadrial
LG48,19,5,378,,V,Complex,FALSE,FALSE,,,,4,21.1%,2,2,13,6,4,0,1,2,1,5,0,,4,,,,The Terris Synod,TRUE,Scadrial
QF33.1,19,1,392,,V,,FALSE,FALSE,,,Broken Mech. and Dist,2,10.5%,0,0,0,0,0,0,0,0,0,0,0,,0,,,,Deception - Murder in the Cosmere,TRUE,
