,,auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,,,
format,num,auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Title/Link,Sanderson? ,World,start_date,end_date,link
MR,29,MR29,20,5,406,V/E,V,Semi Standard,FALSE,,,,,4,20.0%,2,0,8,12,2,0,0,0,0,4,2,,4,,,A Midsummer Night with no Moon,FALSE,Kingkiller Chronicles,,,
LG,46,LG46,27,10,862,,E,Semi Standard,FALSE,,,,,6,22.2%,3,0,22,5,9,0,0,0,1,10,2,,8,,,A Land War in Asia,FALSE,Princess Bride,,,
QF,32,QF32,15,5,305,,V,Basic,FALSE,,,,,3,20.0%,1,2,10,5,3,0,0,2,0,4,1,,4,,,,TRUE,,,,
LG,47,LG47,16,6,266,,E,,FALSE,,,,,4,25.0%,2,0,12,4,7,0,0,0,2,2,1,,1,,,Shadow in the South,FALSE,Lord of the Rings,,,
MR,30,MR30,14,6,503,,V,,FALSE,,,,,0,0.0%,0,0,9,5,0,4,0,0,0,5,0,,8,,,Scadrian Black Ops,TRUE,Scadrial,,,
LG,48,LG48,19,5,378,,V,Complex,FALSE,,,,,4,21.1%,2,2,13,6,4,0,1,2,1,5,0,,4,,,The Terris Synod,TRUE,Scadrial,,,
QF,33.1,QF33.1,19,1,392,,V,,FALSE,,,,Broken Mech. and Dist,2,10.5%,0,0,0,0,0,0,0,0,0,0,0,,0,,,Deception - Murder in the Cosmere,TRUE,,,,
QF,33.2,QF33.2,19,3,392,,V,,FALSE,,,,Well Balanced,3,15.8%,0,0,0,0,0,0,0,0,0,0,0,,0,,,,TRUE,,,,
LG,49,LG49,25,12,1062,U,Misc,Complex,FALSE,2,,,Broken Mechanics,0,0.0%,0,0,15,10,0,0,15,0,0,0,0,,1,,,Window to the Past,TRUE,Roshar,,,
MR,31,MR31,22,7,454,,E,Semi Standard,FALSE,,,,,6,27.3%,2,0,11,11,1,0,0,0,5,5,0,,0,,,Spiritual Warfare,TRUE,Sel,,,
QF,34,QF34,17,6,177,,E,Semi Standard,FALSE,,,,,4,23.5%,0,0,11,5,4,0,0,0,1,6,0,,0,,,A Great Calamity,TRUE,,,,
LG,50,LG50,22,7,426,,V,Standard,FALSE,,,,,5,22.7%,3,1,14,8,4,0,0,1,1,6,2,,3,,,News of My Demise,TRUE,Scadrial,,,
MR,32,MR32,20,6,583,,E,Complex,FALSE,,,,,4,20.0%,1,0,11,8,6,0,0,0,0,5,0,,1,,,The Blight Encroaches,TRUE,Wheel of Time,,,
LG,51,LG51,19,8,458,CON,E,Standard,FALSE,,,,Balanced,3,15.8%,1,0,16,3,5,0,0,0,0,7,4,,3,,,A Traitor in the Obligators,TRUE,Scadrial,,,
QF,35,QF35,21,,288,,FFA,Faction/FFA,FALSE,,,,,0,0.0%,0,0,18,2,0,0,18,0,0,0,0,,0,,,The Melee,TRUE,Rithmatist,,,
AG,5,AG5,30,,1226,FAC,F,Complex,FALSE,3,,,,0,0.0%,0,0,12,18,0,0,7,0,0,5,0,,8,,,One Final Blaze of Light,TRUE,Cross-Cosmere,,,
MR,33,MR33,14,,185,,V,Standard,FALSE,,,,,3,21.4%,2,0,8,6,2,3,0,0,0,3,0,,2,,,Danger in the Terris Peaks,TRUE,Scadrial,,,
LG,52,LG52,18,,472,,E,Semi Standard,FALSE,,,,,5,27.8%,2,0,12,6,6,0,0,0,0,6,0,,0,,,Treachery in the South,TRUE,Scadrial,,,
QF,36,QF36,15,,222,,F,,FALSE,,,,,0,0.0%,0,0,0,15,0,0,0,0,0,0,0,,1,,,Dream Thieves,TRUE,,,,
LG,53,LG53,24,,1116,,V,,FALSE,,,,,5,20.8%,4,1,12,0,5,0,0,1,0,6,0,,0,,,The Fate of the Forum,TRUE,,,,
MR,34,MR34,13,,220,,V,Basic,FALSE,,,,,3,23.1%,3,0,12,1,4,0,0,0,0,8,0,,0,,,Death by Lantern Light,TRUE,Rithmatist,,,
LG,54,LG54,17,,528,,E,Complex,FALSE,,,,,5,29.4%,0,0,11,6,7,0,0,0,0,4,0,,3,,,Cognitive Diversions,TRUE,Roshar,,,
